iter	Logloss
0	0.6862708923
1	0.6796291424
2	0.6735830645
3	0.6665621268
4	0.6602606621
5	0.6540182671
6	0.6481304266
7	0.6423146844
8	0.6369444918
9	0.6306838301
10	0.6246962591
11	0.6186301243
12	0.6127928925
13	0.606992904
14	0.6016649131
15	0.5963193304
16	0.5914003814
17	0.5853224836
18	0.5824742088
19	0.5770555915
20	0.5717129187
21	0.5669964352
22	0.5613489786
23	0.5577222208
24	0.5533484905
25	0.547950326
26	0.5430754682
27	0.5382499283
28	0.5341087591
29	0.5296257984
30	0.5254670909
31	0.5214477643
32	0.517136049
33	0.5132542812
34	0.509765405
35	0.5054696721
36	0.5012782439
37	0.4982896381
38	0.4944048419
39	0.4903249164
40	0.4863876305
41	0.4827794585
42	0.4790183455
43	0.474762739
44	0.4713200145
45	0.4681256496
46	0.4643302969
47	0.4604211754
48	0.4567263162
49	0.4542093894
50	0.4506009239
51	0.4471147453
52	0.4439138639
53	0.4407960001
54	0.4379690074
55	0.4347665949
56	0.4318504859
57	0.428816357
58	0.4256166934
59	0.4226935242
60	0.4196933626
61	0.4162926174
62	0.4134147583
63	0.4107525931
64	0.4084335927
65	0.4057192152
66	0.4029368775
67	0.4002811375
68	0.3973125928
69	0.3948483481
70	0.3937746795
71	0.3915211649
72	0.3888951144
73	0.3863286463
74	0.3836894127
75	0.3819168203
76	0.3792500655
77	0.3767888176
78	0.3745184529
79	0.3724627039
80	0.3699500546
81	0.367800757
82	0.3660867421
83	0.3638305832
84	0.3617946342
85	0.3597708641
86	0.3576123439
87	0.355146427
88	0.3529234156
89	0.3511332275
90	0.3495553844
91	0.347642561
92	0.3454658302
93	0.3447354221
94	0.3430677011
95	0.342145954
96	0.3401732685
97	0.3381452054
98	0.3372163553
99	0.3351901801
100	0.3332869375
101	0.331433439
102	0.3296168069
103	0.3277251035
104	0.3258768954
105	0.3244446917
106	0.3228544793
107	0.3211289118
108	0.3197555273
109	0.3181763435
110	0.3165345793
111	0.3146816671
112	0.3131726307
113	0.311733919
114	0.3114107163
115	0.3098488524
116	0.3085650482
117	0.3081231434
118	0.3063250515
119	0.3046845367
120	0.3030512561
121	0.3016369614
122	0.3000530649
123	0.2987283822
124	0.2973030903
125	0.2957133942
126	0.2943478315
127	0.2935672645
128	0.2919871313
129	0.2903738801
130	0.2886581797
131	0.2871479325
132	0.2856510077
133	0.284234523
134	0.2826568941
135	0.2813648057
136	0.2799934566
137	0.2788715549
138	0.2784239221
139	0.2768917299
140	0.2759530842
141	0.2747823331
142	0.2735596651
143	0.2720740714
144	0.2712592408
145	0.2701033603
146	0.2687226645
147	0.2675544889
148	0.2662112033
149	0.2650929674
150	0.2648578249
151	0.2638523034
152	0.2625569051
153	0.2613353999
154	0.2600499604
155	0.2587619108
156	0.2578892647
157	0.257412738
