iter	Passed	Remaining
0	2	2880
1	13	6591
2	26	8736
3	39	9858
4	52	10528
5	64	10620
6	66	9396
7	78	9701
8	81	9010
9	93	9228
10	104	9397
11	114	9453
12	125	9544
13	137	9685
14	148	9741
15	159	9836
16	161	9324
17	167	9121
18	167	8671
19	178	8734
20	188	8795
21	200	8912
22	210	8939
23	211	8596
24	213	8326
25	224	8395
26	235	8495
27	246	8548
28	256	8580
29	267	8655
30	278	8709
31	289	8771
32	296	8696
33	308	8764
34	310	8562
35	321	8605
36	325	8478
37	326	8275
38	338	8341
39	339	8158
40	351	8216
41	364	8303
42	375	8355
43	386	8404
44	398	8458
45	409	8501
46	421	8538
47	434	8607
48	445	8648
49	446	8487
50	457	8515
51	465	8479
52	477	8528
53	478	8385
54	490	8436
55	494	8341
56	506	8379
57	517	8409
58	531	8469
59	542	8496
60	553	8523
61	560	8476
62	571	8506
63	583	8533
64	595	8563
65	606	8586
66	618	8614
67	630	8641
68	642	8675
69	654	8692
70	654	8569
71	666	8584
72	677	8606
73	689	8629
74	700	8641
75	701	8532
76	712	8545
77	724	8565
78	726	8472
79	737	8481
80	748	8487
81	759	8507
82	762	8420
83	773	8439
84	785	8456
85	796	8463
86	808	8481
87	820	8505
88	833	8529
89	845	8553
90	847	8462
91	858	8473
92	869	8482
93	870	8391
94	881	8394
95	881	8304
96	893	8313
97	904	8324
98	905	8240
99	917	8254
100	920	8193
101	930	8195
102	943	8215
103	956	8244
104	969	8265
105	981	8277
106	992	8283
107	1005	8304
108	1019	8332
109	1032	8357
110	1045	8370
111	1056	8376
112	1067	8379
113	1080	8399
114	1081	8321
115	1092	8322
116	1103	8326
117	1104	8252
118	1114	8251
119	1124	8248
120	1135	8252
121	1147	8254
122	1157	8256
123	1169	8261
124	1180	8261
125	1191	8261
126	1202	8268
127	1204	8204
128	1215	8209
129	1226	8208
130	1238	8216
131	1250	8224
132	1262	8227
133	1274	8239
134	1285	8239
135	1297	8244
136	1308	8239
137	1319	8243
138	1320	8180
139	1331	8180
140	1343	8184
141	1354	8184
142	1366	8187
143	1378	8193
144	1379	8135
145	1390	8130
146	1403	8145
147	1415	8149
148	1421	8118
149	1433	8124
150	1434	8064
151	1446	8068
152	1458	8075
153	1469	8074
154	1482	8079
155	1493	8081
156	1504	8076
157	1504	8020
158	1516	8020
159	1527	8017
160	1538	8017
161	1542	7981
162	1554	7981
163	1566	7983
164	1577	7985
165	1589	7983
166	1600	7984
